OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SCENE ROLE,FUNCTION
,,,,,,,,,,,,,,
# text = Kapitel I,,,,,,,,,,,,,,
1,Kapitel,kapitel,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
2,I,i,CARD,CARD,_,1,appos,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Als ich sechs Jahre alt war , habe ich in einem Buch über den Urwald , das den Titel `` Erlebte Geschichten '' trug , das erste Mal ein wunderschönes Bild gesehen .",,,,,,,,,,,,,,
1,Als,als,KOUS,KOUS,_,5,mark,_,_,_,_,als,Time,Time
2,ich,ich,PPER,PPER,_,5,nsubj,_,_,_,_,_,_,_
3,sechs,sechs,CARD,CARD,_,4,nummod,_,_,_,_,_,_,_
4,Jahre,jahre,NOUN,NN,Number=Sing,5,nmod,_,_,_,_,_,_,_
5,alt,alt,ADJD,ADJD,_,8,advcl,_,_,_,_,_,_,_
6,war,war,VAFIN,VAFIN,_,5,cop,_,_,_,_,_,_,_
7,",",",","$,","$,",_,8,punct,_,_,_,_,_,_,_
8,habe,habe,VAFIN,VAFIN,_,0,root,_,_,_,_,_,_,_
9,ich,ich,PPER,PPER,_,8,root,_,_,_,_,_,_,_
10,in,in,APPR,APPR,_,12,case,_,_,_,_,in,Locus,Locus
11,einem,einem,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Buch,buch,NOUN,NN,Number=Sing,9,nmod,_,_,_,_,_,_,_
13,über,über,APPR,APPR,_,15,case,_,_,_,_,über,Topic,Path
14,den,den,ART,ART,_,15,det,_,_,_,_,_,_,_
15,Urwald,urwald,NOUN,NN,Number=Sing,12,nmod,_,_,_,_,_,_,_
16,",",",","$,","$,",_,12,punct,_,_,_,_,_,_,_
17,das,das,PRELS,PRELS,_,24,nsubj,_,_,_,_,_,_,_
18,den,den,ART,ART,_,19,det,_,_,_,_,_,_,_
19,Titel,titel,NOUN,NN,Number=Sing,24,dobj,_,_,_,_,_,_,_
20,``,``,ADV,ADV,_,22,punct,_,_,_,_,_,_,_
21,Erlebte,erlebte,ADJA,ADJA,_,22,amod,_,_,_,_,_,_,_
22,Geschichten,geschichten,NOUN,NN,Number=Sing,19,appos,_,_,_,_,_,_,_
23,'','',ADJD,ADJD,_,22,punct,_,_,_,_,_,_,_
24,trug,trug,VVFIN,VVFIN,_,12,acl,_,_,_,_,_,_,_
25,",",",","$,","$,",_,24,punct,_,_,_,_,_,_,_
26,das,das,ART,ART,_,28,det,_,_,_,_,_,_,_
27,erste,erste,ADJA,ADJA,_,28,amod,_,_,_,_,_,_,_
28,Mal,mal,NOUN,NN,Number=Sing,32,nmod,_,_,_,_,_,_,_
29,ein,ein,ART,ART,_,31,det,_,_,_,_,_,_,_
30,wunderschönes,wunderschönes,ADJA,ADJA,_,31,amod,_,_,_,_,_,_,_
31,Bild,bild,NOUN,NN,Number=Sing,32,dobj,_,_,_,_,_,_,_
32,gesehen,gesehen,VVPP,VVPP,_,24,xcomp,_,_,_,_,_,_,_
33,.,.,$.,$.,_,9,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Es zeigte eine Riesenschlange , die ein wildes Tier verschlingt .",,,,,,,,,,,,,,
1,Es,es,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,zeigte,zeigte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,eine,eine,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Riesenschlange,riesenschlange,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,die,die,PRELS,PRELS,_,10,nsubj,_,_,_,_,_,_,_
7,ein,ein,ART,ART,_,9,det,_,_,_,_,_,_,_
8,wildes,wildes,ADJA,ADJA,_,9,amod,_,_,_,_,_,_,_
9,Tier,tier,NOUN,NN,Number=Sing,10,dobj,_,_,_,_,_,_,_
10,verschlingt,verschlingt,VVFIN,VVFIN,_,4,acl,_,_,_,_,_,_,_
11,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Hier ist das Bild mal nachgezeichnet :,,,,,,,,,,,,,,
1,Hier,hier,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
2,ist,ist,VAFIN,VAFIN,_,6,cop,_,_,_,_,_,_,_
3,das,das,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Bild,bild,NOUN,NN,Number=Sing,6,nsubj,_,_,_,_,_,_,_
5,mal,mal,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
6-1,nach,nachgezeichnet,VVPP,VVPP,_,0,root,_,_,_,_,_,Topic,Direction
6-2,gezeichnet,nachgezeichnet,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
7,:,:,$.,$.,_,6,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = In dem Buch hieß es : `` Riesenschlangen verschlingen ihre Beute in einem Stück , ohne sie zu zerkauen .",,,,,,,,,,,,,,
1,In,in,APPR,APPR,_,3,case,_,_,_,_,in,Locus,Locus
2,dem,dem,ART,ART,_,3,det,_,_,_,_,_,_,_
3,Buch,buch,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
4,hieß,hieß,VVFIN,VVFIN,_,3,appos,_,_,_,_,_,_,_
5,es,es,PPER,PPER,_,4,dobj,_,_,_,_,_,_,_
6,:,:,$.,$.,_,8,punct,_,_,_,_,_,_,_
7,``,``,ADJA,ADJA,_,8,punct,_,_,_,_,_,_,_
8,Riesenschlangen,riesenschlangen,NOUN,NN,Number=Sing,5,appos,_,_,_,_,_,_,_
9,verschlingen,verschlingen,VVFIN,VVFIN,_,8,appos,_,_,_,_,_,_,_
10,ihre,ihre,PPOSAT,PPOSAT,_,11,det,_,_,_,_,PRON_POSS,SocialRel,Gestalt
11,Beute,beute,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
12,in,in,APPR,APPR,_,14,case,_,_,_,_,in,Characteristic,Locus
13,einem,einem,ART,ART,_,14,det,_,_,_,_,_,_,_
14,Stück,stück,NOUN,NN,Number=Sing,8,nmod,_,_,_,_,_,_,_
15,",",",","$,","$,",_,8,punct,_,_,_,_,_,_,_
16,ohne,ohne,KOUI,KOUI,_,19,mark,_,_,_,_,ohne,Manner,Manner
17,sie,sie,PPER,PPER,_,19,dobj,_,_,_,_,_,_,_
18,zu,zu,PTKZU,PTKZU,_,19,aux,_,_,_,_,_,_,_
19,zerkauen,zerkauen,VVINF,VVINF,_,8,advcl,_,_,_,_,_,_,_
20,.,.,$.,$.,_,3,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Danach können sie sich nicht mehr bewegen und halten sechs Monate lang Verdauungsschlaf . '',,,,,,,,,,,,,,
1,Danach,danach,PROAV,PROAV,_,7,advmod,_,_,_,_,nach,Time,Time
2,können,können,VMFIN,VMFIN,_,7,aux,_,_,_,_,_,_,_
3,sie,sie,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
4,sich,sich,PRF,PRF,_,7,dobj,_,_,_,_,_,_,_
5,nicht,nicht,PTKNEG,PTKNEG,_,6,neg,_,_,_,_,_,_,_
6,mehr,mehr,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
7,bewegen,bewegen,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
8,und,und,KON,KON,_,7,cc,_,_,_,_,_,_,_
9,halten,halten,VVINF,VVINF,_,13,advmod,_,_,_,_,_,_,_
10,sechs,sechs,CARD,CARD,_,11,nummod,_,_,_,_,_,_,_
11,Monate,monate,NOUN,NN,Number=Sing,12,nmod,_,_,_,_,_,_,_
12,lang,lang,ADJD,ADJD,_,13,advmod,_,_,_,_,_,_,_
13,Verdauungsschlaf,verdauungsschlaf,NOUN,NN,Number=Sing,7,conj,_,_,_,_,_,_,_
14,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
15,'','',NOUN,NN,Number=Sing,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = So habe ich viel über Dschungelabenteuer nachgedacht und dann gelang mir mit einem Farbstift meine Zeichnung Nr. 1 .,,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
2,habe,habe,VAFIN,VAFIN,_,7,aux,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
4,viel,viel,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
5,über,über,APPR,APPR,_,6,case,_,_,_,_,über,Topic,Path
6,Dschungelabenteuer,dschungelabenteuer,NOUN,NN,Number=Sing,7,nmod,_,_,_,_,_,_,_
7-1,nach,nachgedacht,VVPP,VVPP,_,0,root,_,_,_,_,_,Extent,Interval
7-2,gedacht,nachgedacht,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
8,und,und,KON,KON,_,7,cc,_,_,_,_,_,_,_
9,dann,dann,ADV,ADV,_,10,advmod,_,_,_,_,_,_,_
10,gelang,gelang,VVFIN,VVFIN,_,7,conj,_,_,_,_,_,_,_
11,mir,mir,PPER,PPER,_,10,iobj,_,_,_,_,PRON_DAT,Experiencer,Recipient
12,mit,mit,APPR,APPR,_,14,case,_,_,_,_,mit,Instrument,Instrument
13,einem,einem,ART,ART,_,14,det,_,_,_,_,_,_,_
14,Farbstift,farbstift,NOUN,NN,Number=Sing,10,nmod,_,_,_,_,_,_,_
15,meine,meine,PPOSAT,PPOSAT,_,16,det,_,_,_,_,PRON_POSS,Originator,Gestalt
16,Zeichnung,zeichnung,NOUN,NN,Number=Sing,14,det,_,_,_,_,_,_,_
17,Nr.,nr.,NOUN,NN,Number=Sing,16,appos,_,_,_,_,_,_,_
18,1,1,CARD,CARD,_,17,appos,_,_,_,_,_,_,_
19,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Sie sah so aus :,,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,sah,sah,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,so,so,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
4,aus,aus,PTKVZ,PTKVZ,_,2,mark,_,_,_,_,aus,,
5,:,:,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Ich zeigte mein Meisterwerk den Erwachsenen und habe sie gefragt , ob sie vor meiner Zeichnung Angst hätten :",,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,zeigte,zeigte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,mein,mein,PPOSAT,PPOSAT,_,4,det,_,_,_,_,PRON_POSS,Originator,Gestalt
4,Meisterwerk,meisterwerk,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
5,den,den,ART,ART,_,6,det,_,_,_,_,_,_,_
6,Erwachsenen,erwachsenen,NOUN,NN,Number=Sing,4,appos,_,_,_,_,_,_,_
7,und,und,KON,KON,_,6,cc,_,_,_,_,_,_,_
8,habe,habe,VAFIN,VAFIN,_,10,aux,_,_,_,_,_,_,_
9,sie,sie,PPER,PPER,_,10,dobj,_,_,_,_,_,_,_
10,gefragt,gefragt,VVPP,VVPP,_,6,conj,_,_,_,_,_,_,_
